	File		Model	T_Energy I_Energy RMSD
CHEMBL247797_01_run_8.log	1	13.038	53.019	0
CHEMBL247797_01_run_7.log	1	18.029	51.644	9.09497
CHEMBL247797_01_run_19.log	1	18.401	54.761	7.61694
CHEMBL247797_01_run_19.log	2	18.553	53.402	2.10556
CHEMBL247797_01_run_21.log	1	18.682	54.88	3.27449
CHEMBL247797_01_run_4.log	3	20.455	54.841	2.09213
CHEMBL247797_01_run_24.log	5	20.551	53.033	8.14758
CHEMBL247797_01_run_10.log	1	20.722	52.436	2.00442
CHEMBL247797_01_run_12.log	1	20.955	54.281	7.68823
CHEMBL247797_01_run_1.log	1	21.233	53.871	3.35417
CHEMBL247797_01_run_14.log	3	21.419	57.471	2.52779
CHEMBL247797_01_run_18.log	1	21.499	56.736	4.33143
CHEMBL247797_01_run_1.log	3	21.501	55.681	3.78252
CHEMBL247797_01_run_21.log	5	21.692	54.416	6.01675
CHEMBL247797_01_run_8.log	5	22.287	55.085	3.58306
CHEMBL247797_01_run_17.log	1	22.451	53.583	2.94092
CHEMBL247797_01_run_1.log	6	22.804	52.825	8.84832
CHEMBL247797_01_run_17.log	3	22.934	51.712	8.29844
CHEMBL247797_01_run_8.log	7	23.067	53.469	7.86701
CHEMBL247797_01_run_17.log	4	23.41	53.717	7.77468
