	File		Model	T_Energy I_Energy RMSD
CHEMBL219683_03_run_18.log	1	-2.652	29.156	0
CHEMBL219683_03_run_4.log	3	0.566	32.505	6.19079
CHEMBL219683_03_run_23.log	1	0.98	31.438	4.74749
CHEMBL219683_03_run_24.log	2	1.291	29.989	9.65035
CHEMBL219683_03_run_14.log	2	1.688	29.127	9.61133
CHEMBL219683_03_run_8.log	4	1.8	31.272	2.06177
CHEMBL219683_03_run_14.log	4	1.884	32.527	9.46362
CHEMBL219683_03_run_6.log	3	2.385	30.709	5.90703
CHEMBL219683_03_run_1.log	4	2.523	29.045	13.6742
CHEMBL219683_03_run_16.log	4	2.902	31.171	9.98201
CHEMBL219683_03_run_4.log	9	2.941	30.897	2.65177
CHEMBL219683_03_run_9.log	4	3.227	31.253	6.71369
CHEMBL219683_03_run_21.log	5	3.609	31.792	2.56601
CHEMBL219683_03_run_9.log	9	4.17	29.681	4.73414
CHEMBL219683_03_run_10.log	8	4.197	30.79	5.27075
CHEMBL219683_03_run_23.log	7	4.293	30.736	9.29349
CHEMBL219683_03_run_19.log	8	4.421	33.589	2.89661
CHEMBL219683_03_run_10.log	9	4.676	30.169	9.58191
CHEMBL219683_03_run_23.log	10	5.055	31.664	5.16083
CHEMBL219683_03_run_11.log	10	5.22	31.903	5.90551
