	File		Model	T_Energy I_Energy RMSD
CHEMBL570111_run_23.log	1	36.309	73.151	0
CHEMBL570111_run_16.log	3	37.17	75.612	10.4085
CHEMBL570111_run_6.log	1	39.996	77.497	2.77513
CHEMBL570111_run_24.log	3	42.344	85.101	11.4479
CHEMBL570111_run_10.log	5	43.077	81.448	10.5209
CHEMBL570111_run_17.log	6	43.957	75.35	2.73762
CHEMBL570111_run_14.log	1	44.021	86.208	9.55303
CHEMBL570111_run_16.log	13	44.351	73.698	2.03612
CHEMBL570111_run_14.log	2	44.524	74.63	4.59214
CHEMBL570111_run_20.log	7	44.807	74.435	9.99069
CHEMBL570111_run_14.log	4	45.161	77.581	10.6074
CHEMBL570111_run_14.log	5	45.21	81.613	10.7674
CHEMBL570111_run_17.log	10	45.24	85.088	2.92634
CHEMBL570111_run_16.log	14	45.293	76.611	7.69236
CHEMBL570111_run_9.log	5	45.7	81.224	3.97681
CHEMBL570111_run_11.log	9	45.903	74.597	2.76478
CHEMBL570111_run_11.log	10	47.486	73.631	10.6431
CHEMBL570111_run_1.log	6	47.843	85.853	9.67866
CHEMBL570111_run_1.log	7	48.038	78.903	10.5861
CHEMBL570111_run_15.log	7	48.159	79.849	4.4687
