	File		Model	T_Energy I_Energy RMSD
CHEMBL220888_01_run_2.log	1	24.863	52.256	0
CHEMBL220888_01_run_20.log	2	25.17	55.972	9.41562
CHEMBL220888_01_run_8.log	2	25.262	59.49	9.35795
CHEMBL220888_01_run_23.log	3	25.34	59.43	9.32225
CHEMBL220888_01_run_17.log	2	25.985	55.91	10.2012
CHEMBL220888_01_run_19.log	4	26.38	56.509	3.7093
CHEMBL220888_01_run_11.log	3	26.754	52.03	2.07659
CHEMBL220888_01_run_2.log	4	27.054	56.713	8.46202
CHEMBL220888_01_run_20.log	5	27.682	51.171	9.29768
CHEMBL220888_01_run_11.log	4	27.813	52.568	9.8552
CHEMBL220888_01_run_24.log	5	27.825	52.537	9.27696
CHEMBL220888_01_run_13.log	4	27.855	52.504	2.13524
CHEMBL220888_01_run_1.log	7	28.247	52.767	9.16092
CHEMBL220888_01_run_23.log	9	28.494	53.356	4.82837
CHEMBL220888_01_run_3.log	7	28.736	51.65	9.46547
CHEMBL220888_01_run_11.log	6	28.766	61.749	5.13403
CHEMBL220888_01_run_19.log	6	28.861	54.578	8.07911
CHEMBL220888_01_run_9.log	5	28.942	58.036	3.80733
CHEMBL220888_01_run_21.log	9	29.11	51.794	9.60454
CHEMBL220888_01_run_16.log	4	29.113	58.185	9.6678
