	File		Model	T_Energy I_Energy RMSD
CHEMBL220897_01_run_22.log	1	20.524	50.797	0
CHEMBL220897_01_run_4.log	1	20.639	48.805	9.33529
CHEMBL220897_01_run_9.log	5	21.314	53.083	8.81547
CHEMBL220897_01_run_22.log	8	21.472	50.775	2.17175
CHEMBL220897_01_run_9.log	7	21.695	52.641	8.76527
CHEMBL220897_01_run_8.log	8	21.768	51.144	2.05381
CHEMBL220897_01_run_11.log	5	22.11	49.459	9.30139
CHEMBL220897_01_run_14.log	6	22.219	54.828	2.36148
CHEMBL220897_01_run_17.log	3	22.491	57.769	9.86271
CHEMBL220897_01_run_1.log	8	22.874	47.861	6.96992
CHEMBL220897_01_run_23.log	12	22.913	53.713	2.04284
CHEMBL220897_01_run_17.log	5	23.201	55.007	3.58365
CHEMBL220897_01_run_17.log	6	23.24	52.281	2.3534
CHEMBL220897_01_run_13.log	8	23.607	52.69	2.71571
CHEMBL220897_01_run_24.log	9	23.906	48.186	7.24089
CHEMBL220897_01_run_16.log	16	23.998	54.347	8.97702
CHEMBL220897_01_run_19.log	10	24.179	56.973	2.5071
CHEMBL220897_01_run_24.log	12	24.314	59.876	11.4514
CHEMBL220897_01_run_6.log	7	24.333	50.476	4.49981
CHEMBL220897_01_run_21.log	15	24.485	49.884	4.61603
