	File		Model	T_Energy I_Energy RMSD
CHEMBL219849_01_run_16.log	1	18.545	59.944	0
CHEMBL219849_01_run_14.log	1	20.517	54.693	10.0005
CHEMBL219849_01_run_11.log	4	20.726	59.955	2.08154
CHEMBL219849_01_run_1.log	2	22.047	52.852	5.06151
CHEMBL219849_01_run_21.log	1	22.085	56.523	8.30665
CHEMBL219849_01_run_4.log	1	22.236	51.564	9.32537
CHEMBL219849_01_run_3.log	5	22.238	52.185	11.4281
CHEMBL219849_01_run_11.log	5	22.502	60.225	4.02857
CHEMBL219849_01_run_14.log	2	22.577	52.705	9.10795
CHEMBL219849_01_run_3.log	8	23.522	56.677	9.63322
CHEMBL219849_01_run_1.log	11	23.717	53.22	5.33438
CHEMBL219849_01_run_17.log	9	23.73	52.787	11.575
CHEMBL219849_01_run_23.log	5	23.908	52.865	9.8179
CHEMBL219849_01_run_23.log	7	24.079	55.304	9.91998
CHEMBL219849_01_run_13.log	4	24.235	55.993	9.122
CHEMBL219849_01_run_21.log	7	24.483	59.664	3.27278
CHEMBL219849_01_run_15.log	6	24.514	55.432	12.3368
CHEMBL219849_01_run_9.log	12	24.574	53.581	9.54555
CHEMBL219849_01_run_14.log	14	24.578	50.469	9.31887
CHEMBL219849_01_run_23.log	13	24.893	52.498	6.17628
