	File		Model	T_Energy I_Energy RMSD
CHEMBL359106_01_run_15.log	1	-29.415	-5.93	0
CHEMBL359106_01_run_24.log	2	-28.258	-5.93	13.0037
CHEMBL359106_01_run_17.log	4	-26.534	-5.93	11.312
CHEMBL359106_01_run_9.log	5	-26.275	-5.93	7.43861
CHEMBL359106_01_run_3.log	6	-25.793	-5.93	6.43754
CHEMBL359106_01_run_9.log	7	-25.2	-5.93	9.07758
CHEMBL359106_01_run_18.log	8	-24.982	-5.93	9.28457
CHEMBL359106_01_run_2.log	11	-24.305	-5.93	13.6304
CHEMBL359106_01_run_14.log	10	-24.267	-5.93	14.4619
CHEMBL359106_01_run_13.log	9	-24.024	-5.93	11.5743
CHEMBL359106_01_run_5.log	13	-23.928	-5.93	7.16558
CHEMBL359106_01_run_19.log	15	-23.888	-5.93	7.32409
CHEMBL359106_01_run_11.log	14	-23.774	-5.93	14.3633
CHEMBL359106_01_run_12.log	14	-23.514	-5.93	10.1027
CHEMBL359106_01_run_5.log	15	-23.441	-5.93	14.6977
CHEMBL359106_01_run_21.log	14	-23.249	-5.93	11.7528
CHEMBL359106_01_run_21.log	15	-23.132	-5.93	10.0554
CHEMBL359106_01_run_8.log	15	-23.091	-5.93	14.7061
CHEMBL359106_01_run_19.log	19	-22.912	-5.93	11.2356
CHEMBL359106_01_run_19.log	20	-22.718	-5.93	12.7136
