	File		Model	T_Energy I_Energy RMSD
CHEMBL220888_run_5.log	1	23.935	53.395	0
CHEMBL220888_01_run_20.log	2	25.17	55.972	9.45369
CHEMBL220888_01_run_8.log	2	25.262	59.49	9.33299
CHEMBL220888_01_run_23.log	3	25.34	59.43	9.3422
CHEMBL220888_run_20.log	3	25.663	53.3	9.03772
CHEMBL220888_run_21.log	2	25.716	55.043	2.21918
CHEMBL220888_run_13.log	3	25.927	53.96	9.05592
CHEMBL220888_run_5.log	3	25.933	55.249	2.85146
CHEMBL220888_run_20.log	5	25.957	58.794	3.64212
CHEMBL220888_01_run_17.log	2	25.985	55.91	10.0704
CHEMBL220888_run_21.log	4	25.995	54.47	2.29751
CHEMBL220888_run_23.log	2	26.07	54.6	7.5771
CHEMBL220888_run_12.log	3	26.296	58.87	3.23825
CHEMBL220888_01_run_19.log	4	26.38	56.509	3.34848
CHEMBL220888_run_2.log	4	27.029	55.218	3.04708
CHEMBL220888_01_run_2.log	4	27.054	56.713	8.50242
CHEMBL220888_run_3.log	3	27.504	53.614	5.4717
CHEMBL220888_run_17.log	4	27.623	57.612	9.59285
CHEMBL220888_01_run_20.log	5	27.682	51.171	9.64193
CHEMBL220888_run_18.log	1	27.719	51.48	11.5219
