	File		Model	T_Energy I_Energy RMSD
CHEMBL220054_02_run_19.log	1	17.054	55.474	0
CHEMBL220054_02_run_16.log	1	18.97	57.2	9.0896
CHEMBL220054_02_run_19.log	4	19.976	57.495	9.90727
CHEMBL220054_02_run_3.log	3	21.118	58.424	9.75658
CHEMBL220054_02_run_21.log	1	21.961	66.717	8.73666
CHEMBL220054_02_run_5.log	6	24.731	56.95	2.30562
CHEMBL220054_02_run_14.log	2	25.547	57.946	9.08589
CHEMBL220054_02_run_20.log	1	25.635	52.49	8.62296
CHEMBL220054_02_run_21.log	8	26.219	56.981	10.1917
CHEMBL220054_02_run_7.log	7	26.486	62.957	9.31149
CHEMBL220054_02_run_9.log	4	26.737	57.286	9.13273
CHEMBL220054_02_run_8.log	10	26.842	53.809	8.75377
CHEMBL220054_02_run_12.log	5	26.856	55.288	10.0218
CHEMBL220054_02_run_17.log	9	26.888	63.355	8.63747
CHEMBL220054_02_run_24.log	7	26.9	51.249	10.6583
CHEMBL220054_02_run_15.log	12	26.928	57.351	9.3173
CHEMBL220054_02_run_11.log	8	26.935	52.439	9.3167
CHEMBL220054_02_run_3.log	10	27.268	54.436	9.96701
CHEMBL220054_02_run_20.log	6	27.501	58.863	8.90629
CHEMBL220054_02_run_16.log	11	27.54	65.469	9.89317
