	File		Model	T_Energy I_Energy RMSD
CHEMBL220272_01_run_1.log	1	21	56.988	0
CHEMBL220272_01_run_4.log	1	21.614	55.582	6.42649
CHEMBL220272_01_run_14.log	2	21.86	55.911	6.04146
CHEMBL220272_01_run_1.log	3	21.873	56.507	2.1222
CHEMBL220272_01_run_3.log	2	23.692	56.832	12.3133
CHEMBL220272_01_run_5.log	4	24.115	59.546	2.04847
CHEMBL220272_01_run_1.log	7	24.862	57.45	5.00415
CHEMBL220272_01_run_1.log	9	25.494	59.212	8.89703
CHEMBL220272_01_run_3.log	6	25.74	58.205	4.66673
CHEMBL220272_01_run_6.log	3	26.157	58.289	12.3135
CHEMBL220272_01_run_1.log	12	26.251	56.216	5.82681
CHEMBL220272_01_run_23.log	1	26.44	59.517	9.1405
CHEMBL220272_01_run_1.log	13	26.469	58.156	2.58447
CHEMBL220272_01_run_12.log	7	26.955	56.961	7.8786
CHEMBL220272_01_run_3.log	8	27.003	57.303	12.1925
CHEMBL220272_01_run_21.log	6	27.152	57.757	5.19037
CHEMBL220272_01_run_24.log	1	27.3	59.752	4.59821
CHEMBL220272_01_run_4.log	7	27.382	58.03	6.19452
CHEMBL220272_01_run_18.log	4	27.711	57.616	5.24071
CHEMBL220272_01_run_3.log	11	27.852	58.138	11.9896
