	File		Model	T_Energy I_Energy RMSD
CHEMBL414139_01_run_9.log	1	119.219	151.156	0
CHEMBL414139_01_run_13.log	1	120.056	147.803	4.01635
CHEMBL414139_01_run_9.log	3	120.353	152.021	2.00795
CHEMBL414139_01_run_18.log	1	120.416	156.065	5.66516
CHEMBL414139_01_run_10.log	1	120.78	153.652	11.3037
CHEMBL414139_01_run_1.log	1	120.905	151.954	5.15107
CHEMBL414139_01_run_9.log	4	121.365	151.107	4.3333
CHEMBL414139_01_run_14.log	1	121.591	153.062	5.89642
CHEMBL414139_01_run_1.log	3	122.431	149.009	3.89569
CHEMBL414139_01_run_19.log	1	122.467	151.792	4.34018
CHEMBL414139_01_run_4.log	1	122.645	148.553	7.11928
CHEMBL414139_01_run_9.log	5	123.163	152.989	7.66356
CHEMBL414139_01_run_16.log	2	123.174	153.21	10.7563
CHEMBL414139_01_run_9.log	6	123.245	151.829	3.06479
CHEMBL414139_01_run_6.log	2	123.441	154.781	10.5205
CHEMBL414139_01_run_5.log	2	123.481	151.471	7.33377
CHEMBL414139_01_run_9.log	7	123.568	149.199	11.7323
CHEMBL414139_01_run_10.log	5	124.179	150.905	10.9828
CHEMBL414139_01_run_6.log	4	124.327	151.615	10.1052
CHEMBL414139_01_run_5.log	5	124.41	155.362	10.7081
