	File		Model	T_Energy I_Energy RMSD
CHEMBL222465_02_run_4.log	1	26.06	64.85	0
CHEMBL222465_02_run_3.log	2	27.735	64.317	9.27362
CHEMBL222465_02_run_21.log	2	28.723	66.516	2.0961
CHEMBL222465_02_run_23.log	3	29.081	63.88	9.35115
CHEMBL222465_02_run_23.log	4	29.314	64.809	2.0306
CHEMBL222465_02_run_7.log	3	32.899	59.074	5.83694
CHEMBL222465_02_run_12.log	4	33.528	60.886	7.2785
CHEMBL222465_02_run_13.log	3	33.728	65.813	2.99938
CHEMBL222465_02_run_15.log	5	34.154	68.562	9.74881
CHEMBL222465_02_run_4.log	10	34.183	70.027	9.43173
CHEMBL222465_02_run_21.log	8	34.223	60.011	5.84943
CHEMBL222465_02_run_15.log	7	34.274	67.966	9.66841
CHEMBL222465_02_run_1.log	3	34.365	65.283	3.26248
CHEMBL222465_02_run_17.log	6	34.473	60.688	6.53521
CHEMBL222465_02_run_3.log	9	34.524	62.327	8.80577
CHEMBL222465_02_run_13.log	7	34.539	62.048	4.91614
CHEMBL222465_02_run_18.log	9	34.621	69.121	9.42362
CHEMBL222465_02_run_12.log	7	34.679	65.129	4.41809
CHEMBL222465_02_run_10.log	3	35.152	65.029	3.32227
CHEMBL222465_02_run_12.log	11	35.194	65.881	4.23698
