	File		Model	T_Energy I_Energy RMSD
CHEMBL219988_02_run_21.log	1	19.851	50.392	0
CHEMBL219988_02_run_21.log	4	20.794	50.644	9.2602
CHEMBL219988_02_run_4.log	4	20.917	50.765	2.16535
CHEMBL219988_02_run_15.log	7	21.845	52.667	10.1596
CHEMBL219988_02_run_18.log	5	21.875	56.389	11.6329
CHEMBL219988_02_run_22.log	5	22.227	54.884	10.6294
CHEMBL219988_02_run_14.log	8	22.99	53.839	7.93531
CHEMBL219988_02_run_15.log	12	23.144	53.466	8.86579
CHEMBL219988_02_run_10.log	11	23.406	51.589	9.07412
CHEMBL219988_02_run_2.log	8	23.637	53.222	10.1634
CHEMBL219988_02_run_23.log	5	23.713	59.838	11.4499
CHEMBL219988_02_run_9.log	12	23.748	52.412	8.65449
CHEMBL219988_02_run_6.log	11	23.902	54.762	7.88427
CHEMBL219988_02_run_19.log	7	24.149	54.325	9.7706
CHEMBL219988_02_run_10.log	16	24.423	58.107	10.3783
CHEMBL219988_02_run_2.log	10	24.428	54.282	8.21284
CHEMBL219988_02_run_4.log	11	24.612	51.772	2.48416
CHEMBL219988_02_run_3.log	11	24.679	55.135	11.4464
CHEMBL219988_02_run_21.log	14	24.722	50.11	2.15237
CHEMBL219988_02_run_2.log	14	24.954	54.467	8.28866
