	File		Model	T_Energy I_Energy RMSD
CHEMBL359106_02_run_12.log	1	-33.289	-11.374	0
CHEMBL359106_02_run_10.log	2	-32.133	-11.374	8.11849
CHEMBL359106_02_run_18.log	3	-31.977	-11.374	5.74067
CHEMBL359106_02_run_18.log	5	-30.985	-11.374	6.83982
CHEMBL359106_02_run_11.log	5	-29.843	-11.374	7.92942
CHEMBL359106_02_run_10.log	6	-29.766	-11.374	9.75003
CHEMBL359106_02_run_15.log	8	-28.938	-11.374	5.7503
CHEMBL359106_02_run_17.log	8	-28.9	-11.374	5.67726
CHEMBL359106_02_run_7.log	9	-28.811	-11.374	5.28313
CHEMBL359106_02_run_13.log	11	-28.141	-11.374	10.1354
CHEMBL359106_02_run_2.log	9	-28.031	-11.374	6.03953
CHEMBL359106_02_run_9.log	11	-27.921	-11.374	5.31324
CHEMBL359106_02_run_15.log	12	-27.742	-11.374	4.84315
CHEMBL359106_02_run_4.log	10	-27.587	-11.374	8.97456
CHEMBL359106_02_run_11.log	13	-27.456	-11.374	4.35752
CHEMBL359106_02_run_8.log	13	-27.451	-11.374	6.34175
CHEMBL359106_02_run_13.log	13	-27.443	-11.374	4.0296
CHEMBL359106_02_run_11.log	14	-27.374	-11.374	5.60647
CHEMBL359106_02_run_14.log	16	-27.216	-11.374	3.89419
CHEMBL359106_02_run_13.log	18	-26.735	-11.374	3.5759
