	File		Model	T_Energy I_Energy RMSD
CHEMBL235345_01_run_23.log	1	26.905	54.905	0
CHEMBL235345_01_run_10.log	1	27.573	56.689	11.2554
CHEMBL235345_01_run_8.log	1	27.627	61.274	9.66479
CHEMBL235345_01_run_3.log	2	28.554	55.148	5.78463
CHEMBL235345_01_run_6.log	2	29.843	55.629	9.34394
CHEMBL235345_01_run_6.log	4	30.592	55.303	5.26611
CHEMBL235345_01_run_23.log	6	30.643	56.266	10.6584
CHEMBL235345_01_run_7.log	3	30.645	57.279	11.4803
CHEMBL235345_01_run_5.log	4	30.709	60.786	12.2712
CHEMBL235345_01_run_11.log	6	30.845	55.099	2.59667
CHEMBL235345_01_run_18.log	1	31.161	56.745	10.4436
CHEMBL235345_01_run_1.log	5	31.368	55.329	5.4685
CHEMBL235345_01_run_20.log	5	31.413	57.084	4.94184
CHEMBL235345_01_run_7.log	6	31.513	57.937	10.4093
CHEMBL235345_01_run_6.log	5	31.514	55.809	5.65834
CHEMBL235345_01_run_2.log	4	31.999	55.066	7.76959
CHEMBL235345_01_run_18.log	4	32.219	57.923	11.0752
CHEMBL235345_01_run_17.log	9	32.525	55.975	10.8574
CHEMBL235345_01_run_20.log	9	32.575	55.868	2.62988
CHEMBL235345_01_run_20.log	11	32.795	61.479	10.5254
