	File		Model	T_Energy I_Energy RMSD
CHEMBL318804_01_run_8.log	1	99.695	135.396	0
CHEMBL318804_01_run_23.log	1	99.945	129.25	3.04327
CHEMBL318804_01_run_13.log	1	100.435	132.207	3.38649
CHEMBL318804_01_run_19.log	1	100.99	132.03	5.94338
CHEMBL318804_01_run_11.log	1	101.744	131.737	3.77415
CHEMBL318804_01_run_11.log	2	102.047	131.078	3.40233
CHEMBL318804_01_run_19.log	3	102.818	136.251	4.95151
CHEMBL318804_01_run_19.log	4	102.82	130.465	6.10896
CHEMBL318804_01_run_4.log	1	102.994	147.822	7.6868
CHEMBL318804_01_run_13.log	2	104.042	134.759	4.48464
CHEMBL318804_01_run_22.log	2	104.383	132.009	4.66797
CHEMBL318804_01_run_1.log	1	104.562	134.174	9.79655
CHEMBL318804_01_run_23.log	3	104.65	130.772	3.94669
CHEMBL318804_01_run_5.log	2	104.747	134.85	2.02623
CHEMBL318804_01_run_11.log	5	104.962	135.325	7.42474
CHEMBL318804_01_run_3.log	2	105.065	134.011	5.50691
CHEMBL318804_01_run_18.log	1	105.069	132.328	9.16676
CHEMBL318804_01_run_7.log	7	105.293	132.693	4.41231
CHEMBL318804_01_run_12.log	1	105.356	139.522	9.6454
CHEMBL318804_01_run_2.log	4	105.414	132.894	6.71389
