	File		Model	T_Energy I_Energy RMSD
CHEMBL361708_01_run_4.log	1	-29.49	-5.75	0
CHEMBL361708_01_run_17.log	2	-29.022	-5.75	9.50383
CHEMBL361708_01_run_6.log	3	-25.924	-5.75	7.71928
CHEMBL361708_01_run_19.log	2	-25.498	-5.75	5.43299
CHEMBL361708_01_run_18.log	4	-25.36	-5.75	7.67716
CHEMBL361708_01_run_6.log	5	-25.25	-5.75	4.31275
CHEMBL361708_01_run_13.log	8	-24.52	-5.75	9.46352
CHEMBL361708_01_run_19.log	8	-24.46	-5.75	9.85973
CHEMBL361708_01_run_12.log	8	-24.046	-5.75	4.39929
CHEMBL361708_01_run_6.log	11	-23.898	-5.75	7.86366
CHEMBL361708_01_run_14.log	10	-23.87	-5.75	9.42663
CHEMBL361708_01_run_8.log	12	-23.437	-5.75	10.6576
CHEMBL361708_01_run_11.log	14	-22.988	-5.75	5.41728
CHEMBL361708_01_run_23.log	15	-22.94	-5.75	5.05196
CHEMBL361708_01_run_19.log	12	-22.933	-5.75	2.4193
CHEMBL361708_01_run_17.log	14	-22.755	-5.75	8.26376
CHEMBL361708_01_run_10.log	16	-22.695	-5.75	9.3747
CHEMBL361708_01_run_8.log	16	-22.676	-5.75	6.1888
CHEMBL361708_01_run_22.log	18	-22.394	-5.75	8.4761
CHEMBL361708_01_run_13.log	18	-22.224	-5.75	7.47078
