	File		Model	T_Energy I_Energy RMSD
CHEMBL374677_01_run_20.log	1	21.788	60.434	0
CHEMBL374677_01_run_16.log	1	22.282	57.495	8.38561
CHEMBL374677_01_run_17.log	1	23.184	52.833	5.07847
CHEMBL374677_01_run_19.log	1	23.312	50.453	9.34595
CHEMBL374677_01_run_7.log	2	23.402	53.447	9.08777
CHEMBL374677_01_run_3.log	1	23.445	53.474	11.4495
CHEMBL374677_01_run_1.log	3	23.871	52.737	10.2887
CHEMBL374677_01_run_12.log	2	23.884	54.166	4.59442
CHEMBL374677_01_run_10.log	3	24.1	54.28	6.5667
CHEMBL374677_01_run_7.log	5	24.463	53.97	5.39792
CHEMBL374677_01_run_18.log	3	24.601	60.635	4.33371
CHEMBL374677_01_run_6.log	3	24.702	52.851	11.5651
CHEMBL374677_01_run_21.log	4	24.866	51.094	9.34674
CHEMBL374677_01_run_7.log	6	25.046	50.857	7.23512
CHEMBL374677_01_run_8.log	7	25.078	62.923	9.05618
CHEMBL374677_01_run_5.log	3	25.079	54.996	9.60127
CHEMBL374677_01_run_16.log	4	25.095	57.445	3.58696
CHEMBL374677_01_run_16.log	5	25.133	56.716	9.82904
CHEMBL374677_01_run_16.log	6	25.204	54.108	9.68728
CHEMBL374677_01_run_18.log	5	25.257	55.873	9.16355
