	File		Model	T_Energy I_Energy RMSD
CHEMBL219790_01_run_8.log	1	22.6	54.778	0
CHEMBL219790_01_run_17.log	1	23.018	59.16	10.356
CHEMBL219790_01_run_4.log	1	23.712	53.6	10.3839
CHEMBL219790_01_run_17.log	2	23.741	56.732	4.19224
CHEMBL219790_01_run_20.log	1	24.149	55.073	11.4175
CHEMBL219790_01_run_5.log	1	24.398	55.243	7.21685
CHEMBL219790_01_run_23.log	2	24.606	54.315	4.63054
CHEMBL219790_01_run_4.log	2	24.933	56.265	8.46297
CHEMBL219790_01_run_3.log	2	24.956	54.236	8.40959
CHEMBL219790_01_run_16.log	2	24.978	58.58	10.4087
CHEMBL219790_01_run_16.log	4	25.182	58.542	9.78539
CHEMBL219790_01_run_7.log	3	25.546	61.983	10.4691
CHEMBL219790_01_run_3.log	6	26.119	52.409	8.84176
CHEMBL219790_01_run_21.log	7	26.165	55.14	4.64344
CHEMBL219790_01_run_24.log	4	26.471	58.958	4.83232
CHEMBL219790_01_run_9.log	8	26.481	52.448	10.235
CHEMBL219790_01_run_1.log	14	26.558	58.011	4.00672
CHEMBL219790_01_run_17.log	11	26.606	56.597	4.98441
CHEMBL219790_01_run_18.log	11	26.808	62.361	9.94731
CHEMBL219790_01_run_3.log	11	27.134	54.241	8.96414
