	File		Model	T_Energy I_Energy RMSD
CHEMBL222465_01_run_10.log	1	29.782	65.805	0
CHEMBL222465_01_run_18.log	1	31.722	62.724	8.33996
CHEMBL222465_01_run_18.log	3	32.453	66.57	8.441
CHEMBL222465_01_run_23.log	4	32.94	66.364	2.1395
CHEMBL222465_01_run_13.log	1	33.359	64.069	9.53846
CHEMBL222465_01_run_3.log	1	33.648	67.204	8.75578
CHEMBL222465_01_run_23.log	6	33.707	61.025	8.27524
CHEMBL222465_01_run_24.log	1	34.333	63.318	4.92577
CHEMBL222465_01_run_24.log	2	34.5	65.746	5.4616
CHEMBL222465_01_run_23.log	8	34.734	67.862	2.64001
CHEMBL222465_01_run_24.log	5	35.267	65.697	5.17111
CHEMBL222465_01_run_8.log	2	35.424	61.364	9.57206
CHEMBL222465_01_run_14.log	2	35.498	60.405	7.73086
CHEMBL222465_01_run_8.log	3	35.558	61.531	9.58609
CHEMBL222465_01_run_20.log	4	35.736	63.419	9.47261
CHEMBL222465_01_run_4.log	7	35.926	66.527	2.30072
CHEMBL222465_01_run_23.log	11	35.955	66.786	2.11525
CHEMBL222465_01_run_17.log	8	36.211	60.899	7.97769
CHEMBL222465_01_run_8.log	8	36.399	62.492	9.43759
CHEMBL222465_01_run_6.log	8	36.726	62.082	7.79604
