	File		Model	T_Energy I_Energy RMSD
CHEMBL162_01_run_21.log	1	107.207	122.423	0
CHEMBL162_01_run_18.log	1	107.495	122.441	20.1695
CHEMBL162_01_run_23.log	2	108.741	122.412	20.4165
CHEMBL162_01_run_4.log	3	109.205	122.446	19.3925
CHEMBL162_01_run_22.log	2	109.284	122.417	7.75331
CHEMBL162_01_run_21.log	5	109.302	122.412	2.33133
CHEMBL162_01_run_2.log	4	109.779	122.52	6.51079
CHEMBL162_01_run_15.log	4	109.89	122.422	5.96831
CHEMBL162_01_run_13.log	8	110.514	122.508	6.98567
CHEMBL162_01_run_20.log	4	110.706	122.506	21.5763
CHEMBL162_01_run_11.log	9	110.899	122.432	6.29502
CHEMBL162_01_run_13.log	14	113.356	122.42	6.79006
CHEMBL162_01_run_9.log	8	113.899	122.582	6.18662
CHEMBL162_01_run_16.log	6	115.042	122.428	20.0755
CHEMBL162_01_run_2.log	12	116.365	122.544	5.68772
CHEMBL162_01_run_2.log	13	116.394	123.01	6.58845
CHEMBL162_01_run_24.log	8	116.841	122.442	19.2856
CHEMBL162_01_run_13.log	18	117.528	122.638	20.4853
CHEMBL162_01_run_12.log	10	117.915	122.476	18.2932
CHEMBL162_01_run_10.log	12	117.918	124.732	20.2707
