	File		Model	T_Energy I_Energy RMSD
CHEMBL220110_01_run_1.log	1	5.476	35.725	0
CHEMBL220110_01_run_5.log	1	9.017	36.887	4.07332
CHEMBL220110_01_run_3.log	1	9.13	34.548	4.69335
CHEMBL220110_01_run_2.log	2	9.266	39.223	3.54102
CHEMBL220110_01_run_18.log	2	9.854	34.829	8.17742
CHEMBL220110_01_run_16.log	3	9.942	36.028	5.10747
CHEMBL220110_01_run_1.log	10	10.517	36.291	2.36243
CHEMBL220110_01_run_8.log	9	10.644	34.694	8.82419
CHEMBL220110_01_run_5.log	6	11.501	35.708	7.49593
CHEMBL220110_01_run_5.log	7	11.525	35.215	7.04195
CHEMBL220110_01_run_19.log	8	11.835	35.058	7.82309
CHEMBL220110_01_run_7.log	10	11.901	34.935	8.57319
CHEMBL220110_01_run_15.log	8	12.045	36.062	9.14077
CHEMBL220110_01_run_17.log	10	12.081	36.484	4.93928
CHEMBL220110_01_run_16.log	8	12.265	34.517	9.93069
CHEMBL220110_01_run_10.log	8	12.451	37.068	7.29075
CHEMBL220110_01_run_16.log	9	12.48	34.998	8.20687
CHEMBL220110_01_run_8.log	15	12.714	35.169	4.33772
CHEMBL220110_01_run_21.log	14	12.876	34.071	8.10265
CHEMBL220110_01_run_8.log	19	12.884	37.773	3.09314
