	File		Model	T_Energy I_Energy RMSD
CHEMBL374677_02_run_6.log	1	15.902	53.506	0
CHEMBL374677_02_run_2.log	2	17.537	53.894	9.07287
CHEMBL374677_02_run_16.log	2	18.033	53.47	2.07925
CHEMBL374677_02_run_10.log	3	19.073	56.449	9.83568
CHEMBL374677_02_run_20.log	4	20.294	57.144	9.14926
CHEMBL374677_02_run_11.log	5	20.424	55.171	9.2013
CHEMBL374677_02_run_2.log	5	21.53	65.644	8.74815
CHEMBL374677_02_run_10.log	5	21.781	55.247	10.2485
CHEMBL374677_02_run_20.log	5	22.586	58.401	9.16335
CHEMBL374677_02_run_11.log	6	22.863	51.701	4.81071
CHEMBL374677_02_run_23.log	3	23.297	54.003	9.69122
CHEMBL374677_02_run_23.log	4	23.627	55.39	9.65393
CHEMBL374677_02_run_11.log	7	23.908	53.122	9.67617
CHEMBL374677_02_run_23.log	5	24.098	56.599	2.06045
CHEMBL374677_02_run_18.log	7	24.213	50.758	8.63223
CHEMBL374677_02_run_23.log	7	24.677	55.65	9.51527
CHEMBL374677_02_run_18.log	8	25.014	50.205	9.35512
CHEMBL374677_02_run_12.log	7	25.024	55.279	9.31655
CHEMBL374677_02_run_24.log	4	25.118	50.495	6.72493
CHEMBL374677_02_run_3.log	8	25.198	49.279	10.7096
