	File		Model	T_Energy I_Energy RMSD
CHEMBL223471_01_run_24.log	1	13.848	51.611	0
CHEMBL223471_01_run_2.log	2	14.374	49.498	9.77502
CHEMBL223471_01_run_10.log	2	14.83	52.334	2.09456
CHEMBL223471_01_run_2.log	5	15.125	51.447	9.05365
CHEMBL223471_01_run_2.log	6	16.313	48.856	4.77665
CHEMBL223471_01_run_17.log	2	17.342	49.883	2.99464
CHEMBL223471_01_run_22.log	4	18.291	51.068	4.96895
CHEMBL223471_01_run_14.log	3	18.515	47.781	9.81797
CHEMBL223471_01_run_20.log	2	18.83	48.39	9.00352
CHEMBL223471_01_run_11.log	3	18.946	48.159	9.4531
CHEMBL223471_01_run_21.log	4	19.198	49.466	2.11917
CHEMBL223471_01_run_7.log	5	19.712	51.998	2.04369
CHEMBL223471_01_run_6.log	4	19.812	51.846	7.11303
CHEMBL223471_01_run_11.log	4	20.01	50.387	4.73763
CHEMBL223471_01_run_15.log	2	20.424	48.532	9.27325
CHEMBL223471_01_run_5.log	1	20.658	48.299	7.2901
CHEMBL223471_01_run_10.log	6	20.938	48.627	9.94658
CHEMBL223471_01_run_20.log	5	21.123	52.662	2.1261
CHEMBL223471_01_run_10.log	7	21.169	50.617	10.4508
CHEMBL223471_01_run_19.log	7	21.335	52.612	7.45346
