	File		Model	T_Energy I_Energy RMSD
CHEMBL220054_03_run_6.log	1	13.18	55.179	0
CHEMBL220054_03_run_6.log	4	14.369	55.578	2.1139
CHEMBL220054_03_run_11.log	1	15.53	57.803	9.65742
CHEMBL220054_03_run_24.log	3	18.692	58.192	9.75215
CHEMBL220054_03_run_21.log	3	21.162	57.004	2.90343
CHEMBL220054_03_run_21.log	4	21.91	62.621	7.58954
CHEMBL220054_03_run_17.log	4	22.754	56.052	10.5537
CHEMBL220054_03_run_13.log	6	23.245	58.62	9.96572
CHEMBL220054_03_run_13.log	8	24.14	58.701	9.94563
CHEMBL220054_03_run_4.log	5	24.253	56.098	5.25026
CHEMBL220054_03_run_17.log	6	24.517	62.896	7.60886
CHEMBL220054_03_run_20.log	3	24.557	57.647	5.89301
CHEMBL220054_03_run_20.log	5	25.073	55.011	9.82743
CHEMBL220054_03_run_8.log	5	25.145	62.813	2.63634
CHEMBL220054_03_run_20.log	8	25.963	55.851	9.91915
CHEMBL220054_03_run_22.log	9	26.337	54.599	3.08943
CHEMBL220054_03_run_16.log	4	26.391	59.553	8.77106
CHEMBL220054_03_run_19.log	5	26.464	58.414	7.14644
CHEMBL220054_03_run_1.log	7	26.948	52.393	7.20052
CHEMBL220054_03_run_19.log	6	27.245	59.871	9.25447
