	File		Model	T_Energy I_Energy RMSD
CHEMBL220897_02_run_21.log	1	14.565	53.634	0
CHEMBL220897_02_run_21.log	3	15.376	54.768	2.16641
CHEMBL220897_02_run_14.log	1	16.793	53.282	2.11977
CHEMBL220897_02_run_6.log	4	18.22	55.647	2.09559
CHEMBL220897_02_run_21.log	6	19.405	52.26	9.37026
CHEMBL220897_02_run_13.log	1	21.037	52.605	3.2201
CHEMBL220897_02_run_10.log	5	21.043	48.549	6.34322
CHEMBL220897_02_run_16.log	7	21.925	53.759	9.39064
CHEMBL220897_02_run_2.log	3	22.175	52.884	3.24263
CHEMBL220897_02_run_24.log	3	22.327	65.279	10.0951
CHEMBL220897_02_run_20.log	7	22.343	58.595	9.53129
CHEMBL220897_02_run_6.log	9	22.762	52.487	9.44294
CHEMBL220897_02_run_12.log	8	22.793	52.645	3.54319
CHEMBL220897_02_run_13.log	4	22.809	52.512	3.71795
CHEMBL220897_02_run_13.log	5	23.002	50.397	4.32811
CHEMBL220897_02_run_9.log	7	23.061	50.594	6.90718
CHEMBL220897_02_run_10.log	13	23.385	48.62	5.08435
CHEMBL220897_02_run_6.log	14	23.392	49.987	3.59982
CHEMBL220897_02_run_3.log	13	23.574	54.43	2.77157
CHEMBL220897_02_run_10.log	15	23.667	52.907	2.50634
