	File		Model	T_Energy I_Energy RMSD
CHEMBL373797_01_run_6.log	1	25.328	57.245	0
CHEMBL373797_01_run_5.log	2	26.6	57.382	2.08065
CHEMBL373797_01_run_22.log	1	30.724	57.55	9.04572
CHEMBL373797_01_run_1.log	2	30.895	57.37	9.10667
CHEMBL373797_01_run_15.log	1	31.378	56.574	4.71989
CHEMBL373797_01_run_5.log	4	31.452	56.498	4.65534
CHEMBL373797_01_run_20.log	1	31.488	56.427	2.08623
CHEMBL373797_01_run_17.log	1	31.499	56.495	9.44964
CHEMBL373797_01_run_1.log	4	31.884	57.678	2.02749
CHEMBL373797_01_run_5.log	5	31.891	56.104	8.54349
CHEMBL373797_01_run_19.log	2	31.91	55.779	11.6776
CHEMBL373797_01_run_24.log	5	32.009	56.76	8.80183
CHEMBL373797_01_run_11.log	2	32.038	55.624	10.5223
CHEMBL373797_01_run_17.log	2	32.147	56.638	9.39243
CHEMBL373797_01_run_3.log	2	32.439	55.96	11.6567
CHEMBL373797_01_run_20.log	6	32.497	56.223	10.4716
CHEMBL373797_01_run_15.log	3	32.529	57.212	8.89189
CHEMBL373797_01_run_5.log	7	32.601	61.346	8.60498
CHEMBL373797_01_run_4.log	3	32.61	56.836	9.25298
CHEMBL373797_01_run_14.log	4	32.888	59.186	8.99188
