	File		Model	T_Energy I_Energy RMSD
CHEMBL373448_01_run_23.log	1	9.094	44.607	0
CHEMBL373448_01_run_23.log	2	10.134	42.56	2.23499
CHEMBL373448_01_run_9.log	1	10.354	43.843	6.57453
CHEMBL373448_01_run_13.log	1	10.88	46.365	3.69291
CHEMBL373448_01_run_5.log	3	11.659	43.2	5.79005
CHEMBL373448_01_run_16.log	5	13.572	43.136	9.99077
CHEMBL373448_01_run_1.log	4	13.582	45.464	5.31858
CHEMBL373448_01_run_16.log	6	14.142	45.352	5.21454
CHEMBL373448_01_run_19.log	6	14.161	43.626	5.2503
CHEMBL373448_01_run_13.log	3	14.635	42.384	4.94067
CHEMBL373448_01_run_2.log	5	14.819	45.763	9.11291
CHEMBL373448_01_run_13.log	5	14.841	47.644	2.89064
CHEMBL373448_01_run_10.log	5	14.898	45.936	9.62138
CHEMBL373448_01_run_3.log	6	14.9	43.288	9.85726
CHEMBL373448_01_run_7.log	5	15.087	49.212	9.50561
CHEMBL373448_01_run_4.log	6	15.109	45.717	9.84227
CHEMBL373448_01_run_18.log	10	15.233	43.098	10.0095
CHEMBL373448_01_run_1.log	13	15.55	45.877	5.04151
CHEMBL373448_01_run_19.log	10	15.581	46.655	12.0305
CHEMBL373448_01_run_9.log	13	15.614	45.118	8.93911
